"","x"
"1",-1.91335392532559
"2",-2.40797389220161
"3",-3.15662791709574
"4",-2.6538982988776
"5",-1.81954549188913
"6",-2.53592070916735
"7",-4.78505104096029
"8",-3.14587307762686
"9",-3.4031371342028
"10",-5.41318561366407
"11",-1.67098257413882
"12",-3.8144338295754
"13",-2.16875412192519
"14",-4.96519935011379
"15",-1.78431612660565
"16",-4.87762029036709
"17",-3.47760067171756
"18",-3.1023650408226
"19",-4.14725880471193
"20",-2.82972995927377
"21",-2.608097931827
"22",-3.89891141008233
"23",-2.35620408927814
"24",-3.22944650716489
"25",-1.92747483091423
"26",-1.59088340656069
"27",-2.06617516146549
"28",-3.93105531513754
"29",-3.15365620407519
"30",-2.62081313931136
"31",-2.36433247037767
"32",-3.43337980566455
"33",-2.70948637954057
"34",-3.27328593188858
"35",-1.69782702580494
"36",-2.24345326579041
"37",-3.94793171183995
"38",-4.00809000526097
"39",-2.37961856701522
"40",-2.81620815048463
"41",-2.97011696652654
"42",-4.35548645366956
"43",-4.77711934682845
"44",-5.37073424269297
"45",-5.05858331687737
"46",-4.19876754159919
"47",-4.91539497950947
"48",-7.08864761000666
"49",-5.55203125580129
"50",-5.889435869337
"51",-7.88348167685157
"52",-4.0238526572236
"53",-6.19043635451293
"54",-4.53053046207874
"55",-7.34950942394598
"56",-4.16433958237498
"57",-7.29479611560091
"58",-5.8429582384641
"59",-5.48634247034519
"60",-6.52356718193098
"61",-5.24968116835525
"62",-4.97637947341806
"63",-6.28028150738084
"64",-4.7443508945893
"65",-5.6652428649934
"66",-4.25339857858785
"67",-3.97367511417671
"68",-4.37199621395709
"69",-6.27122426914725
"70",-5.50487410206436
"71",-5.02971870279174
"72",-4.69314456379812
"73",-5.78788133853683
"74",-5.12597934697559
"75",-5.65301525375187
"76",-4.09754458927435
"77",-4.61776064879938
"78",-6.32192760169717
"79",-6.38012866563356
"80",-4.70542854876969
"81",-5.18069325768605
"82",-5.37086267726243
